number;name;category;price;stock_info;active
4585;"Фотоаппарат Canon EOS 50D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
7554;"Фотоаппарат Canon EOS 550D 18-135 kit IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";29490;Ожидается;1
7552;"Фотоаппарат Canon EOS 550D 18-200 kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
7984;"Фотоаппарат Canon EOS 550D 18-55 kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
7553;"Фотоаппарат Canon EOS 550D 18-55 kit IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";22989;Ожидается;1
7555;"Фотоаппарат Canon EOS 550D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";27171;Ожидается;1
1632;"Фотоаппарат Canon EOS 5D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
2629;"Фотоаппарат Canon EOS 5D EF 24-105 L IS USM kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
4884;"Фотоаппарат Canon EOS 5D Mark II";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";92711;Ожидается;1
14644;"Фотоаппарат Canon EOS 5D Mark II -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";84430;Ожидается;1
4883;"Фотоаппарат Canon EOS 5D Mark II Kit 24-105";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";95853;Ожидается;1
14646;"Фотоаппарат Canon EOS 5D Mark II Kit 24-105 -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";90417;Ожидается;1
12585;"Фотоаппарат Canon EOS 5D Mark III";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";106482;На складе;1
14903;"Фотоаппарат Canon EOS 5D Mark III -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";103188;Ожидается;1
12868;"Фотоаппарат Canon EOS 5D Mark III Kit 24-105";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";135960;Ожидается;1
15070;"Фотоаппарат Canon EOS 5D Mark III Kit 24-105 -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";118006;Ожидается;1
9301;"Фотоаппарат Canon EOS 600D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";16290;Ожидается;1
11166;"Фотоаппарат Canon EOS 600D double kit 18-55 IS + 55-250 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";25990;Ожидается;1
9302;"Фотоаппарат Canon EOS 600D kit 18-135 IS";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";26190;Ожидается;1
10946;"Фотоаппарат Canon EOS 600D kit 18-55";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";20190;Ожидается;1
14647;"Фотоаппарат Canon EOS 600D kit 18-55 IS -/";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";18870;Ожидается;1
